Home_Location,Qualification,Job_Domain,Employment_Type,Company_Size,Joining_Period,Experience_Years,Salary
Manendragarh,12th Pass,Sales Executive,Full Time,Large,45 Days,3,31000
Korba,MBA,Business Analyst,Full Time,Medium,Immediately,5,150000
Jagdalpur,MBA,Digital Marketing Executive,Part Time,Medium,2 Months,20,150000
Bilaspur,Diploma,Computer Operator,Intern,Medium,30 Days,15,21000
Rajnandgaon,BCA,Account Manager,Full Time,Large,45 Days,6,122000
Chirmiri,M.Com,Digital Marketing Executive,Full Time,Large,45 Days,8,150000
Mahasamund,Diploma,Computer Operator,Intern,Small,2 Months,1,8000
Bhatapara,Diploma,Sales Executive,Full Time,Medium,Immediately,7,50000
Ambikapur,Diploma,Content Writer,Full Time,Medium,30 Days,7,40000
Naila Janjgir,Diploma,Computer Operator,Full Time,Large,2 Months,4,34000
Tilda Newra,BCA,MIS Executive,Full Time,Medium,2 Months,7,96000
Dhamtari,MA,Account Manager,Full Time,Small,Immediately,9,131000
Naila Janjgir,12th Pass,Accountant,Full Time,Large,3 Months,4,36000
Korba,MA,Digital Marketing Executive,Full Time,Small,15 Days,7,90000
Dhamtari,MA,Account Manager,Full Time,Large,Immediately,1,104000
Ambikapur,MA,HR Executive,Full Time,Small,3 Months,6,77000
Dhamtari,12th Pass,Customer Support,Contract,Small,30 Days,6,20000
Raigarh,10th Pass,Customer Support,Intern,Small,Immediately,0,8000
Ambikapur,BBA,Sales Executive,Full Time,Medium,2 Months,7,81000
Bhilai,12th Pass,Sales Executive,Full Time,Small,15 Days,1,22000
Tilda Newra,M.Com,Digital Marketing Executive,Full Time,Large,30 Days,5,150000
Naila Janjgir,10th Pass,Computer Operator,Part Time,Small,2 Months,2,12000
Naila Janjgir,Diploma,Customer Support,Full Time,Medium,15 Days,3,29000
Korba,BBA,Business Analyst,Intern,Small,45 Days,5,31000
Jagdalpur,MBA,HR Executive,Full Time,Medium,45 Days,9,150000
Bhatapara,BBA,Digital Marketing Executive,Part Time,Large,3 Months,6,58000
Chirmiri,12th Pass,Accountant,Intern,Medium,3 Months,7,13000
Dalli-Rajhara,Diploma,Sales Executive,Full Time,Medium,2 Months,7,45000
Chirmiri,BCA,Account Manager,Full Time,Large,30 Days,7,125000
Raigarh,MBA,HR Executive,Full Time,Large,30 Days,4,150000
Naila Janjgir,MA,Business Analyst,Full Time,Medium,15 Days,15,150000
Mungeli,10th Pass,Customer Support,Full Time,Medium,2 Months,6,19000
Raipur,M.Com,Business Analyst,Full Time,Medium,15 Days,8,150000
Bhilai,10th Pass,Computer Operator,Full Time,Large,30 Days,8,20000
Manendragarh,BA,Digital Marketing Executive,Full Time,Medium,3 Months,11,83000
Rajnandgaon,MBA,Account Manager,Contract,Medium,2 Months,7,150000
Ambikapur,12th Pass,Customer Support,Full Time,Small,15 Days,8,25000
Dhamtari,MBA,Sales Executive,Part Time,Medium,15 Days,2,63000
Sakti,MA,Digital Marketing Executive,Full Time,Large,2 Months,5,127000
Naila Janjgir,10th Pass,Customer Support,Full Time,Large,30 Days,8,24000
Naila Janjgir,BA,Digital Marketing Executive,Part Time,Small,Immediately,0,18000
Manendragarh,12th Pass,Sales Executive,Full Time,Medium,3 Months,7,37000
Dalli-Rajhara,BCA,Business Analyst,Full Time,Small,3 Months,5,87000
Ambikapur,10th Pass,Computer Operator,Full Time,Small,Immediately,9,16000
Bhatapara,BA,Business Analyst,Full Time,Large,30 Days,5,94000
Korba,BA,Digital Marketing Executive,Full Time,Large,45 Days,7,79000
Raipur,B.Com,Sales Executive,Full Time,Large,30 Days,5,72000
Dhamtari,BA,Account Manager,Full Time,Large,Immediately,8,86000
Naila Janjgir,BA,Digital Marketing Executive,Part Time,Small,2 Months,12,41000
Mungeli,BCA,Content Writer,Part Time,Small,30 Days,0,19000
Chirmiri,MA,Business Analyst,Full Time,Small,3 Months,13,139000
Naila Janjgir,BA,Business Analyst,Full Time,Small,Immediately,3,47000
Bemetra,MA,MIS Executive,Full Time,Medium,15 Days,8,114000
Bilaspur,MBA,MIS Executive,Full Time,Large,2 Months,10,150000
Mungeli,Diploma,Sales Executive,Part Time,Large,30 Days,3,27000
Ambikapur,MA,Account Manager,Full Time,Small,2 Months,9,140000
Ambikapur,M.Com,Digital Marketing Executive,Full Time,Large,45 Days,3,128000
Mahasamund,10th Pass,Computer Operator,Full Time,Medium,30 Days,3,12000
Naila Janjgir,BBA,Business Analyst,Full Time,Small,15 Days,8,101000
Manendragarh,M.Com,Business Analyst,Contract,Small,30 Days,16,150000
Jagdalpur,BCA,Account Manager,Full Time,Medium,2 Months,15,128000
Chirmiri,Diploma,Sales Executive,Full Time,Large,15 Days,3,44000
Bhilai,BBA,Customer Support,Part Time,Large,30 Days,1,30000
Bilaspur,10th Pass,Sales Executive,Full Time,Medium,30 Days,3,17000
Bhilai,B.Com,Customer Support,Part Time,Large,30 Days,1,25000
Bemetra,MA,Business Analyst,Full Time,Large,2 Months,16,150000
Dalli-Rajhara,MA,Business Analyst,Full Time,Large,3 Months,7,150000
Bhatapara,BA,HR Executive,Full Time,Small,2 Months,10,58000
Tilda Newra,BCA,Content Writer,Part Time,Small,Immediately,0,21000
Raipur,B.Com,HR Executive,Full Time,Medium,30 Days,4,53000
Raipur,B.Com,MIS Executive,Full Time,Small,30 Days,8,67000
Chirmiri,M.Com,MIS Executive,Full Time,Large,45 Days,10,150000
Ambikapur,MA,MIS Executive,Intern,Large,2 Months,8,64000
Durg,M.Com,Digital Marketing Executive,Full Time,Large,15 Days,15,150000
Korba,BA,Sales Executive,Full Time,Small,45 Days,4,41000
Dalli-Rajhara,M.Com,Account Manager,Full Time,Large,2 Months,5,150000
Manendragarh,BCA,MIS Executive,Full Time,Small,30 Days,4,54000
Chirmiri,B.Com,Account Manager,Full Time,Small,30 Days,4,67000
Chirmiri,BBA,Business Analyst,Full Time,Small,15 Days,3,65000
Jagdalpur,B.Com,Digital Marketing Executive,Full Time,Small,30 Days,9,68000
Dalli-Rajhara,MA,HR Executive,Contract,Medium,30 Days,8,77000
Ambikapur,BBA,Content Writer,Part Time,Large,15 Days,0,33000
Dhamtari,BCA,Sales Executive,Full Time,Small,2 Months,8,67000
Rajnandgaon,B.Com,Business Analyst,Full Time,Large,2 Months,11,145000
Naila Janjgir,Diploma,Accountant,Full Time,Large,Immediately,5,48000
Korba,Diploma,Content Writer,Contract,Small,2 Months,8,38000
Chirmiri,B.Com,Account Manager,Contract,Small,2 Months,7,58000
Naila Janjgir,BBA,MIS Executive,Contract,Medium,2 Months,7,85000
Jagdalpur,BA,Account Manager,Intern,Medium,45 Days,7,29000
Sakti,B.Com,Accountant,Part Time,Large,Immediately,2,32000
Mahasamund,BBA,Business Analyst,Full Time,Medium,30 Days,14,147000
Bhilai,BA,MIS Executive,Full Time,Small,2 Months,4,39000
Ambikapur,10th Pass,Computer Operator,Part Time,Medium,2 Months,5,12000
Raigarh,MA,Business Analyst,Full Time,Large,15 Days,7,150000
Sakti,10th Pass,Sales Executive,Full Time,Large,45 Days,10,32000
Korba,BA,Sales Executive,Full Time,Large,30 Days,3,57000
Mungeli,BA,Content Writer,Part Time,Medium,45 Days,2,18000
Bhatapara,BA,Customer Support,Part Time,Large,2 Months,0,20000
Dhamtari,B.Com,Sales Executive,Full Time,Small,30 Days,6,55000
Mungeli,MA,MIS Executive,Contract,Large,30 Days,1,75000
Rajnandgaon,10th Pass,Sales Executive,Part Time,Small,Immediately,2,12000
Mungeli,10th Pass,Sales Executive,Full Time,Medium,45 Days,2,18000
Dalli-Rajhara,Diploma,Customer Support,Full Time,Large,3 Months,8,47000
Sakti,M.Com,Business Analyst,Full Time,Small,45 Days,11,150000
Tilda Newra,BCA,Accountant,Intern,Large,15 Days,0,24000
Bilaspur,BCA,Accountant,Contract,Small,30 Days,1,40000
Bhilai,MA,HR Executive,Intern,Small,30 Days,4,26000
Raigarh,10th Pass,Sales Executive,Full Time,Small,15 Days,1,14000
Korba,10th Pass,Computer Operator,Contract,Medium,45 Days,5,14000
Dalli-Rajhara,M.Com,HR Executive,Full Time,Small,15 Days,3,67000
Manendragarh,MBA,Business Analyst,Full Time,Large,45 Days,7,150000
Bemetra,10th Pass,Customer Support,Part Time,Large,2 Months,7,13000
Raigarh,Diploma,Sales Executive,Part Time,Large,Immediately,0,21000
Dhamtari,M.Com,HR Executive,Full Time,Small,3 Months,10,110000
Bilaspur,12th Pass,Content Writer,Full Time,Medium,3 Months,7,30000
Raigarh,BCA,Content Writer,Part Time,Large,45 Days,0,33000
Rajnandgaon,B.Com,HR Executive,Full Time,Medium,3 Months,6,58000
Jagdalpur,MA,Digital Marketing Executive,Contract,Small,30 Days,2,61000
Korba,B.Com,HR Executive,Full Time,Small,30 Days,3,41000
Dhamtari,MA,Account Manager,Full Time,Small,15 Days,16,150000
Sakti,BA,Digital Marketing Executive,Full Time,Small,30 Days,3,41000
Bemetra,B.Com,Digital Marketing Executive,Full Time,Small,2 Months,3,41000
Bhatapara,M.Com,Account Manager,Full Time,Medium,15 Days,7,149000
Raipur,12th Pass,Sales Executive,Full Time,Small,45 Days,2,22000
Dhamtari,B.Com,Business Analyst,Full Time,Large,Immediately,4,91000
Raipur,MA,Account Manager,Full Time,Small,30 Days,4,92000
Bhilai,MA,MIS Executive,Part Time,Medium,Immediately,1,41000
Tilda Newra,MA,MIS Executive,Full Time,Large,Immediately,17,150000
Bemetra,Diploma,Customer Support,Full Time,Large,30 Days,4,41000
Rajnandgaon,M.Com,MIS Executive,Full Time,Small,Immediately,15,150000
Bhatapara,MBA,Account Manager,Full Time,Large,Immediately,1,150000
Tilda Newra,BCA,Digital Marketing Executive,Part Time,Small,30 Days,2,30000
Sakti,BBA,MIS Executive,Full Time,Medium,3 Months,4,70000
Chirmiri,MA,HR Executive,Full Time,Medium,3 Months,13,136000
Sakti,Diploma,Customer Support,Full Time,Medium,2 Months,12,44000
Mahasamund,10th Pass,Customer Support,Part Time,Small,Immediately,1,12000
Raipur,MBA,Digital Marketing Executive,Full Time,Medium,30 Days,4,131000
Raigarh,Diploma,Computer Operator,Full Time,Large,30 Days,5,36000
Sakti,Diploma,Sales Executive,Full Time,Medium,15 Days,14,68000
Bilaspur,12th Pass,Accountant,Part Time,Medium,15 Days,3,15000
Bhatapara,BBA,Sales Executive,Full Time,Large,15 Days,3,87000
Chirmiri,M.Com,MIS Executive,Intern,Medium,15 Days,10,61000
Dalli-Rajhara,BA,HR Executive,Full Time,Medium,30 Days,4,44000
Chirmiri,B.Com,MIS Executive,Full Time,Small,15 Days,11,89000
Naila Janjgir,BCA,Customer Support,Contract,Small,30 Days,2,32000
Mahasamund,10th Pass,Sales Executive,Full Time,Small,30 Days,2,15000
Manendragarh,B.Com,Digital Marketing Executive,Full Time,Medium,30 Days,3,61000
Chirmiri,MA,Business Analyst,Full Time,Small,30 Days,14,150000
Raipur,10th Pass,Computer Operator,Full Time,Medium,3 Months,7,17000
Raipur,10th Pass,Customer Support,Full Time,Small,45 Days,4,13000
Bhilai,Diploma,Accountant,Full Time,Large,Immediately,1,36000
Dhamtari,MBA,MIS Executive,Full Time,Medium,2 Months,6,147000
Naila Janjgir,12th Pass,Accountant,Full Time,Medium,45 Days,7,33000
Tilda Newra,B.Com,Business Analyst,Full Time,Medium,45 Days,9,93000
Rajnandgaon,BA,Digital Marketing Executive,Full Time,Large,30 Days,6,66000
Durg,10th Pass,Sales Executive,Full Time,Large,Immediately,5,28000
Jagdalpur,12th Pass,Sales Executive,Full Time,Medium,3 Months,10,44000
Manendragarh,BBA,Business Analyst,Full Time,Small,2 Months,7,83000
Rajnandgaon,12th Pass,Sales Executive,Full Time,Large,2 Months,3,33000
Jagdalpur,BCA,Business Analyst,Full Time,Large,30 Days,8,146000
Tilda Newra,BBA,MIS Executive,Full Time,Large,30 Days,3,84000
Bhatapara,12th Pass,Content Writer,Full Time,Small,15 Days,2,18000
Ambikapur,BBA,Account Manager,Contract,Medium,2 Months,9,97000
Mungeli,BBA,Content Writer,Full Time,Large,Immediately,1,55000
Bemetra,10th Pass,Sales Executive,Full Time,Medium,30 Days,5,21000
Chirmiri,B.Com,Content Writer,Full Time,Medium,15 Days,1,37000
Bemetra,BCA,HR Executive,Part Time,Small,2 Months,11,49000
Durg,Diploma,Content Writer,Full Time,Medium,45 Days,2,30000
Durg,M.Com,Account Manager,Full Time,Medium,2 Months,7,144000
Mungeli,Diploma,Customer Support,Intern,Large,30 Days,11,19000
Sakti,M.Com,Digital Marketing Executive,Full Time,Small,45 Days,11,132000
Dalli-Rajhara,Diploma,Accountant,Part Time,Large,30 Days,8,38000
Manendragarh,Diploma,Content Writer,Full Time,Small,30 Days,8,40000
Rajnandgaon,Diploma,Sales Executive,Full Time,Small,30 Days,3,32000
Tilda Newra,BBA,Digital Marketing Executive,Full Time,Large,Immediately,1,69000
Ambikapur,10th Pass,Sales Executive,Full Time,Large,Immediately,3,23000
Rajnandgaon,12th Pass,Sales Executive,Full Time,Large,15 Days,4,36000
Bilaspur,M.Com,Account Manager,Contract,Large,3 Months,10,150000
Chirmiri,M.Com,HR Executive,Full Time,Small,30 Days,7,101000
Naila Janjgir,Diploma,Sales Executive,Part Time,Small,2 Months,2,18000
Jagdalpur,12th Pass,Customer Support,Part Time,Small,30 Days,6,12000
Durg,MA,Business Analyst,Full Time,Medium,15 Days,8,147000
Rajnandgaon,10th Pass,Computer Operator,Intern,Small,15 Days,3,8000
Rajnandgaon,MBA,MIS Executive,Part Time,Small,45 Days,6,86000
Naila Janjgir,12th Pass,Customer Support,Intern,Medium,Immediately,1,8000
Durg,MA,Digital Marketing Executive,Full Time,Large,45 Days,15,150000
Dalli-Rajhara,B.Com,Account Manager,Full Time,Large,2 Months,9,126000
Chirmiri,BBA,HR Executive,Part Time,Medium,3 Months,7,44000
Tilda Newra,B.Com,HR Executive,Full Time,Large,15 Days,7,86000
Mungeli,M.Com,MIS Executive,Full Time,Large,15 Days,2,119000
Dhamtari,Diploma,Sales Executive,Full Time,Small,30 Days,6,39000
Bhilai,BA,HR Executive,Contract,Medium,Immediately,0,30000
Bhilai,M.Com,Digital Marketing Executive,Full Time,Large,15 Days,2,112000
Mungeli,Diploma,Customer Support,Intern,Large,15 Days,0,10000
Bhatapara,Diploma,Accountant,Part Time,Medium,Immediately,0,18000
Raipur,12th Pass,Content Writer,Part Time,Medium,45 Days,4,15000
Bilaspur,12th Pass,Computer Operator,Full Time,Small,45 Days,4,16000
Naila Janjgir,10th Pass,Customer Support,Full Time,Medium,30 Days,3,13000
Raipur,Diploma,Content Writer,Part Time,Medium,45 Days,0,14000
Bilaspur,BBA,Account Manager,Full Time,Large,45 Days,4,117000
Mahasamund,12th Pass,Sales Executive,Intern,Small,45 Days,6,12000
Bemetra,Diploma,Content Writer,Full Time,Medium,15 Days,5,31000
Naila Janjgir,BA,MIS Executive,Part Time,Medium,30 Days,10,39000
Raipur,M.Com,Digital Marketing Executive,Full Time,Medium,2 Months,3,108000
Bhatapara,BCA,Sales Executive,Full Time,Medium,45 Days,6,87000
Mungeli,12th Pass,Computer Operator,Full Time,Large,15 Days,6,28000
Ambikapur,BBA,Business Analyst,Full Time,Medium,3 Months,14,150000
Rajnandgaon,BBA,Account Manager,Full Time,Small,3 Months,11,91000
Rajnandgaon,BCA,Digital Marketing Executive,Part Time,Small,Immediately,1,29000
Bilaspur,MBA,Business Analyst,Full Time,Medium,45 Days,10,150000
Bhatapara,M.Com,HR Executive,Full Time,Large,30 Days,4,115000
Chirmiri,BBA,Digital Marketing Executive,Intern,Small,Immediately,1,19000
Bemetra,MBA,MIS Executive,Part Time,Medium,2 Months,7,110000
Raigarh,Diploma,Content Writer,Full Time,Medium,45 Days,6,38000
Raipur,MA,Account Manager,Full Time,Large,30 Days,20,150000
Raigarh,MA,Digital Marketing Executive,Contract,Large,45 Days,12,150000
Bhatapara,BA,HR Executive,Full Time,Medium,30 Days,1,36000
Raipur,MA,HR Executive,Part Time,Large,45 Days,17,113000
Sakti,BCA,MIS Executive,Full Time,Small,2 Months,3,51000
Ambikapur,BCA,Business Analyst,Full Time,Small,45 Days,9,96000
Bilaspur,Diploma,Sales Executive,Full Time,Large,45 Days,6,58000
Durg,BCA,MIS Executive,Full Time,Large,15 Days,13,150000
Raipur,BBA,Accountant,Full Time,Small,30 Days,2,51000
Manendragarh,10th Pass,Customer Support,Full Time,Medium,Immediately,5,16000
Raigarh,12th Pass,Accountant,Full Time,Large,3 Months,5,44000
Bhatapara,MA,Digital Marketing Executive,Full Time,Small,3 Months,17,147000
Naila Janjgir,BA,HR Executive,Part Time,Large,45 Days,6,37000
Manendragarh,BBA,Digital Marketing Executive,Full Time,Small,3 Months,10,87000
Raipur,Diploma,Computer Operator,Full Time,Large,30 Days,6,37000
Bhatapara,MBA,Account Manager,Full Time,Medium,3 Months,6,150000
Korba,MA,Business Analyst,Full Time,Small,30 Days,5,97000
Bemetra,10th Pass,Sales Executive,Contract,Small,3 Months,6,15000
Chirmiri,10th Pass,Computer Operator,Contract,Small,30 Days,6,12000
Bilaspur,M.Com,HR Executive,Contract,Small,2 Months,7,85000
Ambikapur,B.Com,Account Manager,Contract,Small,45 Days,4,54000
Rajnandgaon,Diploma,Sales Executive,Full Time,Medium,3 Months,6,49000
Mahasamund,BBA,Digital Marketing Executive,Contract,Medium,2 Months,8,82000
Bhatapara,M.Com,MIS Executive,Full Time,Medium,3 Months,6,140000
Bilaspur,MA,Digital Marketing Executive,Full Time,Large,15 Days,15,150000
Rajnandgaon,12th Pass,Customer Support,Full Time,Large,2 Months,3,26000
Dalli-Rajhara,BA,MIS Executive,Full Time,Large,3 Months,5,67000
Rajnandgaon,M.Com,MIS Executive,Full Time,Medium,2 Months,7,126000
Bhilai,M.Com,HR Executive,Full Time,Medium,3 Months,9,132000
Dalli-Rajhara,BCA,HR Executive,Part Time,Small,45 Days,9,48000
Jagdalpur,10th Pass,Computer Operator,Full Time,Large,45 Days,4,19000
Naila Janjgir,BBA,Account Manager,Full Time,Large,15 Days,9,147000
Ambikapur,B.Com,Digital Marketing Executive,Part Time,Small,45 Days,2,25000
Bemetra,B.Com,Content Writer,Part Time,Small,30 Days,0,17000
Naila Janjgir,B.Com,Digital Marketing Executive,Full Time,Small,2 Months,10,66000
Ambikapur,BCA,Sales Executive,Contract,Medium,45 Days,3,59000
Rajnandgaon,BCA,Accountant,Contract,Large,Immediately,0,59000
Mahasamund,MBA,HR Executive,Full Time,Large,Immediately,4,148000
Rajnandgaon,BBA,Sales Executive,Full Time,Medium,3 Months,15,132000
Korba,B.Com,Business Analyst,Full Time,Large,45 Days,12,137000
Bemetra,MBA,Account Manager,Full Time,Small,45 Days,4,120000
Manendragarh,B.Com,Business Analyst,Full Time,Medium,30 Days,5,91000
Tilda Newra,10th Pass,Customer Support,Full Time,Small,2 Months,4,12000
Bemetra,BBA,Accountant,Full Time,Large,15 Days,1,71000
Dhamtari,M.Com,Digital Marketing Executive,Contract,Medium,Immediately,1,80000
Naila Janjgir,MBA,Account Manager,Contract,Small,2 Months,4,120000
Manendragarh,MBA,HR Executive,Full Time,Small,Immediately,10,150000
Bilaspur,Diploma,Accountant,Intern,Medium,30 Days,6,16000
Tilda Newra,BCA,Business Analyst,Full Time,Small,Immediately,12,121000
Bhilai,BCA,Digital Marketing Executive,Full Time,Large,3 Months,7,119000
Raigarh,10th Pass,Computer Operator,Full Time,Medium,Immediately,1,12000
Dalli-Rajhara,BA,Digital Marketing Executive,Intern,Small,45 Days,4,18000
Sakti,BCA,Content Writer,Part Time,Small,15 Days,0,19000
Raigarh,10th Pass,Sales Executive,Part Time,Small,Immediately,0,12000
Rajnandgaon,M.Com,Sales Executive,Contract,Large,Immediately,2,96000
Ambikapur,BA,HR Executive,Contract,Small,45 Days,12,45000
Bhatapara,M.Com,Business Analyst,Full Time,Medium,15 Days,11,150000
Bilaspur,BCA,Account Manager,Full Time,Medium,30 Days,13,148000
Manendragarh,BBA,Sales Executive,Full Time,Large,30 Days,7,93000
Mungeli,MBA,Business Analyst,Full Time,Large,2 Months,10,150000
Bilaspur,10th Pass,Customer Support,Full Time,Large,30 Days,5,22000
Chirmiri,BA,HR Executive,Part Time,Medium,45 Days,11,33000
Mahasamund,BBA,HR Executive,Full Time,Large,2 Months,7,90000
Sakti,MA,Business Analyst,Full Time,Large,45 Days,20,150000
Mahasamund,MBA,MIS Executive,Full Time,Small,Immediately,9,141000
Ambikapur,BBA,Account Manager,Part Time,Large,15 Days,3,64000
Chirmiri,10th Pass,Customer Support,Full Time,Medium,30 Days,3,15000
Dalli-Rajhara,BA,Account Manager,Full Time,Small,30 Days,12,77000
Bilaspur,Diploma,Customer Support,Part Time,Small,30 Days,12,22000
Raipur,Diploma,Customer Support,Part Time,Large,15 Days,11,39000
Manendragarh,M.Com,Business Analyst,Full Time,Large,45 Days,20,150000
Jagdalpur,B.Com,MIS Executive,Full Time,Small,30 Days,4,53000
Naila Janjgir,MBA,Account Manager,Part Time,Small,30 Days,2,69000
Dalli-Rajhara,12th Pass,Content Writer,Contract,Small,15 Days,11,30000
Durg,MBA,Business Analyst,Full Time,Small,Immediately,8,150000
Dhamtari,BA,Account Manager,Contract,Medium,30 Days,4,52000
Dhamtari,M.Com,Digital Marketing Executive,Full Time,Small,30 Days,4,90000
Tilda Newra,MA,MIS Executive,Full Time,Small,45 Days,15,129000
Jagdalpur,BA,Digital Marketing Executive,Full Time,Large,2 Months,2,55000
Bilaspur,10th Pass,Sales Executive,Full Time,Large,2 Months,7,29000
Korba,12th Pass,Customer Support,Full Time,Small,30 Days,3,17000
Bemetra,MA,Sales Executive,Full Time,Large,45 Days,2,88000
Korba,M.Com,MIS Executive,Part Time,Large,2 Months,10,134000
Dalli-Rajhara,BA,Customer Support,Full Time,Medium,30 Days,1,25000
Mungeli,MA,Business Analyst,Full Time,Small,30 Days,6,108000
Mungeli,BBA,Digital Marketing Executive,Part Time,Medium,30 Days,0,34000
Ambikapur,BCA,HR Executive,Full Time,Small,30 Days,4,53000
Bemetra,MBA,Business Analyst,Full Time,Medium,30 Days,11,150000
Tilda Newra,BA,Sales Executive,Full Time,Small,2 Months,4,41000
Sakti,12th Pass,Accountant,Full Time,Small,15 Days,1,19000
Bhilai,Diploma,Customer Support,Full Time,Small,Immediately,3,26000
Jagdalpur,M.Com,MIS Executive,Full Time,Medium,2 Months,17,150000
Mahasamund,BCA,Business Analyst,Full Time,Large,2 Months,7,141000
Dalli-Rajhara,BA,Account Manager,Full Time,Large,45 Days,5,68000
Manendragarh,B.Com,Digital Marketing Executive,Full Time,Medium,45 Days,2,51000
Naila Janjgir,B.Com,Customer Support,Part Time,Medium,30 Days,0,18000
Dhamtari,BA,Sales Executive,Full Time,Small,2 Months,7,45000
Chirmiri,10th Pass,Computer Operator,Full Time,Large,Immediately,1,14000
Manendragarh,BCA,Sales Executive,Full Time,Small,Immediately,4,54000
Chirmiri,BBA,Business Analyst,Full Time,Medium,3 Months,7,105000
Dhamtari,MA,HR Executive,Part Time,Large,45 Days,1,47000
Mungeli,12th Pass,Accountant,Full Time,Large,3 Months,6,41000
Tilda Newra,10th Pass,Customer Support,Full Time,Small,15 Days,1,12000
Bemetra,B.Com,Digital Marketing Executive,Part Time,Small,15 Days,5,31000
Mungeli,MA,Business Analyst,Full Time,Small,Immediately,16,150000
Sakti,M.Com,Account Manager,Full Time,Large,30 Days,3,150000
Korba,BA,Account Manager,Full Time,Large,30 Days,4,66000
Mungeli,BA,Digital Marketing Executive,Contract,Small,30 Days,7,48000
Manendragarh,Diploma,Sales Executive,Full Time,Small,45 Days,10,46000
Raipur,M.Com,Business Analyst,Full Time,Large,Immediately,14,150000
Tilda Newra,Diploma,Accountant,Full Time,Large,2 Months,6,55000
Manendragarh,BBA,Sales Executive,Contract,Small,15 Days,1,44000
Bhatapara,BBA,Business Analyst,Full Time,Large,15 Days,11,150000
Naila Janjgir,12th Pass,Sales Executive,Part Time,Small,2 Months,12,23000
Korba,MA,Digital Marketing Executive,Full Time,Large,30 Days,10,150000
Manendragarh,BCA,Digital Marketing Executive,Part Time,Large,2 Months,6,65000
Durg,BCA,Sales Executive,Full Time,Small,2 Months,5,69000
Korba,B.Com,Business Analyst,Full Time,Large,30 Days,5,104000
Bemetra,MA,Business Analyst,Full Time,Small,3 Months,7,114000
Dalli-Rajhara,10th Pass,Sales Executive,Full Time,Small,15 Days,1,12000
Sakti,MA,MIS Executive,Full Time,Medium,30 Days,7,102000
Mahasamund,M.Com,Sales Executive,Contract,Medium,Immediately,2,82000
Ambikapur,12th Pass,Accountant,Part Time,Medium,15 Days,1,14000
Rajnandgaon,BCA,Accountant,Full Time,Medium,45 Days,0,47000
Raipur,M.Com,Account Manager,Full Time,Small,2 Months,13,150000
Raigarh,12th Pass,Computer Operator,Full Time,Large,30 Days,3,21000
Dalli-Rajhara,MA,Digital Marketing Executive,Full Time,Large,2 Months,6,135000
Manendragarh,10th Pass,Sales Executive,Full Time,Small,15 Days,2,14000
Bilaspur,Diploma,Content Writer,Full Time,Small,2 Months,4,28000
Dhamtari,BA,Digital Marketing Executive,Full Time,Large,45 Days,10,91000
Manendragarh,MBA,Sales Executive,Full Time,Medium,30 Days,3,127000
Naila Janjgir,10th Pass,Customer Support,Full Time,Small,2 Months,8,16000
Jagdalpur,10th Pass,Customer Support,Full Time,Medium,30 Days,5,15000
Korba,10th Pass,Computer Operator,Full Time,Small,30 Days,6,14000
Manendragarh,B.Com,Business Analyst,Part Time,Large,2 Months,3,52000
Korba,MBA,Digital Marketing Executive,Full Time,Medium,45 Days,6,150000
Ambikapur,B.Com,Business Analyst,Full Time,Large,30 Days,6,112000
Bilaspur,M.Com,HR Executive,Full Time,Small,30 Days,4,74000
Mungeli,BBA,Sales Executive,Full Time,Medium,30 Days,7,83000
Dhamtari,BCA,Account Manager,Full Time,Medium,45 Days,4,87000
Bhilai,MBA,Digital Marketing Executive,Full Time,Small,45 Days,10,150000
Chirmiri,MBA,HR Executive,Full Time,Medium,30 Days,12,150000
Durg,BBA,Customer Support,Part Time,Large,30 Days,2,33000
Bhatapara,12th Pass,Sales Executive,Part Time,Medium,15 Days,0,12000
Mungeli,10th Pass,Sales Executive,Full Time,Medium,45 Days,5,22000
Ambikapur,BA,Business Analyst,Full Time,Large,45 Days,4,79000
Dalli-Rajhara,M.Com,MIS Executive,Full Time,Small,45 Days,4,95000
Mahasamund,MBA,Digital Marketing Executive,Full Time,Large,45 Days,13,150000
Durg,BA,Digital Marketing Executive,Full Time,Large,30 Days,2,56000
Dalli-Rajhara,B.Com,HR Executive,Full Time,Small,30 Days,1,31000
Bemetra,M.Com,Digital Marketing Executive,Full Time,Medium,3 Months,12,150000
Rajnandgaon,B.Com,Digital Marketing Executive,Full Time,Medium,Immediately,1,45000
Sakti,BBA,MIS Executive,Full Time,Medium,45 Days,3,76000
Rajnandgaon,B.Com,HR Executive,Part Time,Medium,Immediately,2,25000
Bhatapara,B.Com,Account Manager,Part Time,Small,45 Days,7,43000
Korba,BCA,Digital Marketing Executive,Full Time,Medium,30 Days,6,74000
Bilaspur,10th Pass,Computer Operator,Full Time,Medium,2 Months,5,14000
Dalli-Rajhara,BCA,MIS Executive,Full Time,Small,3 Months,3,58000
Ambikapur,BBA,Business Analyst,Full Time,Small,2 Months,5,83000
Korba,MBA,Sales Executive,Full Time,Small,45 Days,3,102000
Korba,BBA,Business Analyst,Full Time,Large,30 Days,10,146000
Bilaspur,BCA,Content Writer,Contract,Large,15 Days,2,52000
Ambikapur,BCA,HR Executive,Contract,Small,2 Months,2,44000
Bhilai,BBA,Account Manager,Full Time,Small,Immediately,6,80000
Raigarh,MA,Account Manager,Full Time,Medium,45 Days,6,123000
Bhatapara,BBA,MIS Executive,Full Time,Small,45 Days,5,66000
